date,date,total_num,pos_num,neg_num,neu_num,pos_density,neg_density,neu_density
2020-05-15,2020-05-15,579,306,64,209,0.5284974093264249,0.11053540587219343,0.3609671848013817
2020-05-16,2020-05-16,559,300,62,197,0.5366726296958855,0.11091234347048301,0.35241502683363146
2020-05-17,2020-05-17,387,199,37,151,0.5142118863049095,0.09560723514211886,0.39018087855297157
2020-05-18,2020-05-18,451,244,51,156,0.541019955654102,0.1130820399113082,0.3458980044345898
2020-05-19,2020-05-19,483,273,58,152,0.5652173913043478,0.12008281573498965,0.3146997929606625
2020-05-20,2020-05-20,465,259,61,145,0.556989247311828,0.13118279569892474,0.3118279569892473
2020-05-21,2020-05-21,487,258,58,171,0.5297741273100616,0.11909650924024641,0.351129363449692
2020-05-22,2020-05-22,510,281,61,168,0.5509803921568628,0.11960784313725491,0.32941176470588235
2020-05-23,2020-05-23,398,219,50,129,0.550251256281407,0.12562814070351758,0.3241206030150754
2020-05-24,2020-05-24,418,234,58,126,0.5598086124401914,0.13875598086124402,0.3014354066985646
2020-05-25,2020-05-25,363,186,40,137,0.512396694214876,0.11019283746556474,0.3774104683195592
2020-05-26,2020-05-26,416,217,49,150,0.5216346153846154,0.11778846153846154,0.3605769230769231
2020-05-27,2020-05-27,373,198,44,131,0.5308310991957105,0.11796246648793565,0.3512064343163539
2020-05-28,2020-05-28,359,213,28,118,0.5933147632311978,0.07799442896935933,0.3286908077994429
2020-05-29,2020-05-29,412,242,52,118,0.587378640776699,0.1262135922330097,0.28640776699029125
2020-05-30,2020-05-30,318,176,32,110,0.5534591194968553,0.10062893081761007,0.34591194968553457
2020-05-31,2020-05-31,340,180,40,120,0.5294117647058824,0.11764705882352941,0.35294117647058826
2020-06-01,2020-06-01,296,177,46,73,0.597972972972973,0.1554054054054054,0.24662162162162163
2020-06-02,2020-06-02,224,112,24,88,0.5,0.10714285714285714,0.39285714285714285
2020-06-03,2020-06-03,306,163,45,98,0.5326797385620915,0.14705882352941177,0.3202614379084967
2020-06-04,2020-06-04,321,177,36,108,0.5514018691588785,0.11214953271028037,0.3364485981308411
2020-06-05,2020-06-05,412,215,62,135,0.5218446601941747,0.15048543689320387,0.3276699029126214
2020-06-06,2020-06-06,344,207,45,92,0.6017441860465116,0.1308139534883721,0.26744186046511625
2020-06-07,2020-06-07,339,181,49,109,0.5339233038348082,0.14454277286135694,0.3215339233038348
2020-06-08,2020-06-08,376,196,49,131,0.5212765957446809,0.13031914893617022,0.3484042553191489
2020-06-09,2020-06-09,410,239,35,136,0.5829268292682926,0.08536585365853659,0.33170731707317075
2020-06-10,2020-06-10,359,193,44,122,0.5376044568245125,0.12256267409470752,0.3398328690807799
2020-06-11,2020-06-11,358,202,45,111,0.5642458100558659,0.12569832402234637,0.3100558659217877
2020-06-12,2020-06-12,418,235,65,118,0.562200956937799,0.15550239234449761,0.2822966507177033
2020-06-13,2020-06-13,322,186,35,101,0.577639751552795,0.10869565217391304,0.3136645962732919
2020-06-14,2020-06-14,294,165,47,82,0.5612244897959183,0.1598639455782313,0.2789115646258503
2020-06-15,2020-06-15,620,357,79,184,0.5758064516129032,0.12741935483870967,0.2967741935483871
2020-06-16,2020-06-16,740,431,90,219,0.5824324324324325,0.12162162162162163,0.2959459459459459
2020-06-17,2020-06-17,694,415,77,202,0.5979827089337176,0.11095100864553314,0.2910662824207493
2020-06-18,2020-06-18,675,407,82,186,0.6029629629629629,0.12148148148148148,0.27555555555555555
2020-06-19,2020-06-19,730,416,79,235,0.5698630136986301,0.10821917808219178,0.3219178082191781
2020-06-20,2020-06-20,735,450,77,208,0.6122448979591837,0.10476190476190476,0.2829931972789116
